Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveR1Frac",39,0.01,0x7FFB6FF24762,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",39,0.01,0x7FFB6FF1265D,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",38,0.01,0x7FFBF712A25B,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",38,0.01,0x7FFB6FF0C3B0,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",38,0.01,0x7FFB700E0240,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.Extensions.GetIds",38,0.01,0x7FFB6FF25C6B,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_ControlledBody",38,0.01,0x7FFB6FF25A68,0,0,0,0,
"[vcomp140.dll]",37,0.01,0x7FFC0AFD86E5,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].<Create>b__0",37,0.01,0x7FFB6FF2210A,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsControllable",37,0.01,0x7FFB6FF1250E,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",36,0.01,0x7FFBF712A29F,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",36,0.01,0x7FFBF7132C69,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_Body>b__13_0",36,0.01,0x7FFB6FF2420F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple",36,0.01,0x7FFB6FF0DB20,0,0,0,0,
"[Unknown]",35,0.01,0x7FFB6FDDC090,0,0,0,0,
"[Unknown]",35,0.01,0x7FFB6FDDD0E8,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",35,0.01,0x7FFB6FF0EF90,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_Body>b__13_0",34,0.01,0x7FFB6FF241E4,0,0,0,0,
