Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveH",47,0.01,154,0.04,0,0,0,0,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_MicrosoftQuantumPrimitiveR1Frac",45,0.01,124,0.03,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon]],System.__Canon].Apply",45,0.01,"75,814",19.86,0,0,0,0,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledBody>b__11_0",42,0.01,"14,070",3.69,0,0,0,0,
"Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0",40,0.01,"6,003",1.57,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_ControlledAdjointBody",39,0.01,39,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.ValueTuple`2[System.Int64,System.__Canon],System.ValueTuple`4[System.Int64,System.Int64,System.Int64,System.__Canon]].<Create>b__0",39,0.01,149,0.04,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",39,0.01,39,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR+<>c__DisplayClass11_0.<get_ControlledBody>b__2",38,0.01,"46,651",12.22,0,0,0,0,
"Microsoft.Quantum.Primitive.CNOT.get_Body",37,0.01,39,0.01,0,0,0,0,
"Microsoft.Quantum.Primitive.SWAP.get_CNOT",37,0.01,37,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].get_Body",37,0.01,37,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper+<>c.<MakeGetQubitsFunctionsDictionary>b__0_2",37,0.01,37,0.01,0,0,0,0,
"Microsoft.Quantum.Primitive.CNOT.get_X",36,0.01,36,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<Combine>d__7.MoveNext",36,0.01,167,0.04,0,0,0,0,
"Microsoft.Quantum.Canon.SwapReverseRegister.<get_Body>b__7_0",34,0.01,"11,167",2.93,0,0,0,0,
"Microsoft.Quantum.Extensions.Convert.Native+ToDouble.get_Body",34,0.01,34,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator.SafeControlled",34,0.01,879,0.23,0,0,0,0,
"System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]..ctor",34,0.01,34,0.01,0,0,0,0,
"Microsoft.Quantum.Extensions.Math.Native+PI.get_Body",33,0.01,33,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsFullyDefined",33,0.01,128,0.03,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2+<>c__DisplayClass1_0[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].<.ctor>b__0",32,0.01,305,0.08,0,0,0,0,
"Microsoft.Quantum.Primitive.SWAP.<get_Body>b__7_0",31,0.01,"10,932",2.86,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_ControlledAdjointBody",31,0.01,33,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply",30,0.01,"47,829",12.53,0,0,0,0,
"dynamicClass.IL_STUB_PInvoke",28,0.01,"13,736",3.60,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsQubit",28,0.01,28,0.01,0,0,0,0,
"Microsoft.Quantum.Canon.Reverse`1[System.__Canon].<get_Body>b__5_0",27,0.01,229,0.06,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Double].Apply",26,0.01,60,0.02,0,0,0,0,
"Microsoft.Quantum.Canon.ModularIncrementPhaseLE.<get_ControlledAdjointBody>b__31_0",25,0.01,"64,732",16.96,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Range.GetEnumerator",25,0.01,25,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimH.get_Body",24,0.01,25,0.01,0,0,0,0,
"Microsoft.Quantum.Canon.WithA`1[System.__Canon].<get_AdjointBody>b__7_0",23,0.01,"43,843",11.48,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon]..ctor",23,0.01,23,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply",23,0.01,937,0.25,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.get_AssertBoolEqual",22,0.01,70,0.02,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.__Canon,System.__Canon].get_Body",22,0.01,22,0.01,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].Apply",22,0.01,149,0.04,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",22,0.01,22,0.01,0,0,0,0,
"Microsoft.Quantum.Canon.AssertBoolEqual.get_Body",21,0.01,21,0.01,0,0,0,0,
